titles,summaries
A Thorough View of Exact Inference in Graphs from the Degree-4 Sum-of-Squares Hierarchy,"Performing inference in graphs is a common task within several machine
learning problems, e.g., image segmentation, community detection, among others.
For a given undirected connected graph, we tackle the statistical problem of
exactly recovering an unknown ground-truth binary labeling of the nodes from a
single corrupted observation of each edge. Such problem can be formulated as a
quadratic combinatorial optimization problem over the boolean hypercube, where
it has been shown before that one can (with high probability and in polynomial
time) exactly recover the ground-truth labeling of graphs that have an
isoperimetric number that grows with respect to the number of nodes (e.g.,
complete graphs, regular expanders). In this work, we apply a powerful
hierarchy of relaxations, known as the sum-of-squares (SoS) hierarchy, to the
combinatorial problem. Motivated by empirical evidence on the improvement in
exact recoverability, we center our attention on the degree-4 SoS relaxation
and set out to understand the origin of such improvement from a graph
theoretical perspective. We show that the solution of the dual of the relaxed
problem is related to finding edge weights of the Johnson and Kneser graphs,
where the weights fulfill the SoS constraints and intuitively allow the input
graph to increase its algebraic connectivity. Finally, as byproduct of our
analysis, we derive a novel Cheeger-type lower bound for the algebraic
connectivity of graphs with signed edge weights."
Analysis of Vision-based Abnormal Red Blood Cell Classification,"Identification of abnormalities in red blood cells (RBC) is key to diagnosing
a range of medical conditions from anaemia to liver disease. Currently this is
done manually, a time-consuming and subjective process. This paper presents an
automated process utilising the advantages of machine learning to increase
capacity and standardisation of cell abnormality detection, and its performance
is analysed. Three different machine learning technologies were used: a Support
Vector Machine (SVM), a classical machine learning technology; TabNet, a deep
learning architecture for tabular data; U-Net, a semantic segmentation network
designed for medical image segmentation. A critical issue was the highly
imbalanced nature of the dataset which impacts the efficacy of machine
learning. To address this, synthesising minority class samples in feature space
was investigated via Synthetic Minority Over-sampling Technique (SMOTE) and
cost-sensitive learning. A combination of these two methods is investigated to
improve the overall performance. These strategies were found to increase
sensitivity to minority classes. The impact of unknown cells on semantic
segmentation is demonstrated, with some evidence of the model applying learning
of labelled cells to these anonymous cells. These findings indicate both
classical models and new deep learning networks as promising methods in
automating RBC abnormality detection."
DAAIN: Detection of Anomalous and Adversarial Input using Normalizing Flows,"Despite much recent work, detecting out-of-distribution (OOD) inputs and
adversarial attacks (AA) for computer vision models remains a challenge. In
this work, we introduce a novel technique, DAAIN, to detect OOD inputs and AA
for image segmentation in a unified setting. Our approach monitors the inner
workings of a neural network and learns a density estimator of the activation
distribution. We equip the density estimator with a classification head to
discriminate between regular and anomalous inputs. To deal with the
high-dimensional activation-space of typical segmentation networks, we
subsample them to obtain a homogeneous spatial and layer-wise coverage. The
subsampling pattern is chosen once per monitored model and kept fixed for all
inputs. Since the attacker has access to neither the detection model nor the
sampling key, it becomes harder for them to attack the segmentation network, as
the attack cannot be backpropagated through the detector. We demonstrate the
effectiveness of our approach using an ESPNet trained on the Cityscapes dataset
as segmentation model, an affine Normalizing Flow as density estimator and use
blue noise to ensure homogeneous sampling. Our model can be trained on a single
GPU making it compute efficient and deployable without requiring specialized
accelerators."
CFPNet-M: A Light-Weight Encoder-Decoder Based Network for Multimodal Biomedical Image Real-Time Segmentation,"Currently, developments of deep learning techniques are providing
instrumental to identify, classify, and quantify patterns in medical images.
Segmentation is one of the important applications in medical image analysis. In
this regard, U-Net is the predominant approach to medical image segmentation
tasks. However, we found that those U-Net based models have limitations in
several aspects, for example, millions of parameters in the U-Net consuming
considerable computation resource and memory, lack of global information, and
missing some tough objects. Therefore, we applied two modifications to improve
the U-Net model: 1) designed and added the dilated channel-wise CNN module, 2)
simplified the U shape network. Based on these two modifications, we proposed a
novel light-weight architecture -- Channel-wise Feature Pyramid Network for
Medicine (CFPNet-M). To evaluate our method, we selected five datasets with
different modalities: thermography, electron microscopy, endoscopy, dermoscopy,
and digital retinal images. And we compared its performance with several models
having different parameter scales. This paper also involves our previous
studies of DC-UNet and some commonly used light-weight neural networks. We
applied the Tanimoto similarity instead of the Jaccard index for gray-level
image measurements. By comparison, CFPNet-M achieves comparable segmentation
results on all five medical datasets with only 0.65 million parameters, which
is about 2% of U-Net, and 8.8 MB memory. Meanwhile, the inference speed can
reach 80 FPS on a single RTX 2070Ti GPU with the 256 by 192 pixels input size."
High-Resolution Segmentation of Tooth Root Fuzzy Edge Based on Polynomial Curve Fitting with Landmark Detection,"As the most economical and routine auxiliary examination in the diagnosis of
root canal treatment, oral X-ray has been widely used by stomatologists. It is
still challenging to segment the tooth root with a blurry boundary for the
traditional image segmentation method. To this end, we propose a model for
high-resolution segmentation based on polynomial curve fitting with landmark
detection (HS-PCL). It is based on detecting multiple landmarks evenly
distributed on the edge of the tooth root to fit a smooth polynomial curve as
the segmentation of the tooth root, thereby solving the problem of fuzzy edge.
In our model, a maximum number of the shortest distances algorithm (MNSDA) is
proposed to automatically reduce the negative influence of the wrong landmarks
which are detected incorrectly and deviate from the tooth root on the fitting
result. Our numerical experiments demonstrate that the proposed approach not
only reduces Hausdorff95 (HD95) by 33.9% and Average Surface Distance (ASD) by
42.1% compared with the state-of-the-art method, but it also achieves excellent
results on the minute quantity of datasets, which greatly improves the
feasibility of automatic root canal therapy evaluation by medical image
computing."
Predicting the Solar Potential of Rooftops using Image Segmentation and Structured Data,"Estimating the amount of electricity that can be produced by rooftop
photovoltaic systems is a time-consuming process that requires on-site
measurements, a difficult task to achieve on a large scale. In this paper, we
present an approach to estimate the solar potential of rooftops based on their
location and architectural characteristics, as well as the amount of solar
radiation they receive annually. Our technique uses computer vision to achieve
semantic segmentation of roof sections and roof objects on the one hand, and a
machine learning model based on structured building features to predict roof
pitch on the other hand. We then compute the azimuth and maximum number of
solar panels that can be installed on a rooftop with geometric approaches.
Finally, we compute precise shading masks and combine them with solar
irradiation data that enables us to estimate the yearly solar potential of a
rooftop."
Learning Fuzzy Clustering for SPECT/CT Segmentation via Convolutional Neural Networks,"Quantitative bone single-photon emission computed tomography (QBSPECT) has
the potential to provide a better quantitative assessment of bone metastasis
than planar bone scintigraphy due to its ability to better quantify activity in
overlapping structures. An important element of assessing response of bone
metastasis is accurate image segmentation. However, limited by the properties
of QBSPECT images, the segmentation of anatomical regions-of-interests (ROIs)
still relies heavily on the manual delineation by experts. This work proposes a
fast and robust automated segmentation method for partitioning a QBSPECT image
into lesion, bone, and background. We present a new unsupervised segmentation
loss function and its semi- and supervised variants for training a
convolutional neural network (ConvNet). The loss functions were developed based
on the objective function of the classical Fuzzy C-means (FCM) algorithm. We
conducted a comprehensive study to compare our proposed methods with ConvNets
trained using supervised loss functions and conventional clustering methods.
The Dice similarity coefficient (DSC) and several other metrics were used as
figures of merit as applied to the task of delineating lesion and bone in both
simulated and clinical SPECT/CT images. We experimentally demonstrated that the
proposed methods yielded good segmentation results on a clinical dataset even
though the training was done using realistic simulated images. A ConvNet-based
image segmentation method that uses novel loss functions was developed and
evaluated. The method can operate in unsupervised, semi-supervised, or
fully-supervised modes depending on the availability of annotated training
data. The results demonstrated that the proposed method provides fast and
robust lesion and bone segmentation for QBSPECT/CT. The method can potentially
be applied to other medical image segmentation applications."
Argmax Flows and Multinomial Diffusion: Learning Categorical Distributions,"Generative flows and diffusion models have been predominantly trained on
ordinal data, for example natural images. This paper introduces two extensions
of flows and diffusion for categorical data such as language or image
segmentation: Argmax Flows and Multinomial Diffusion. Argmax Flows are defined
by a composition of a continuous distribution (such as a normalizing flow), and
an argmax function. To optimize this model, we learn a probabilistic inverse
for the argmax that lifts the categorical data to a continuous space.
Multinomial Diffusion gradually adds categorical noise in a diffusion process,
for which the generative denoising process is learned. We demonstrate that our
method outperforms existing dequantization approaches on text modelling and
modelling on image segmentation maps in log-likelihood."
Learning Uncertainty For Safety-Oriented Semantic Segmentation In Autonomous Driving,"In this paper, we show how uncertainty estimation can be leveraged to enable
safety critical image segmentation in autonomous driving, by triggering a
fallback behavior if a target accuracy cannot be guaranteed. We introduce a new
uncertainty measure based on disagreeing predictions as measured by a
dissimilarity function. We propose to estimate this dissimilarity by training a
deep neural architecture in parallel to the task-specific network. It allows
this observer to be dedicated to the uncertainty estimation, and let the
task-specific network make predictions. We propose to use self-supervision to
train the observer, which implies that our method does not require additional
training data. We show experimentally that our proposed approach is much less
computationally intensive at inference time than competing methods (e.g.
MCDropout), while delivering better results on safety-oriented evaluation
metrics on the CamVid dataset, especially in the case of glare artifacts."
BoundarySqueeze: Image Segmentation as Boundary Squeezing,"We propose a novel method for fine-grained high-quality image segmentation of
both objects and scenes. Inspired by dilation and erosion from morphological
image processing techniques, we treat the pixel level segmentation problems as
squeezing object boundary. From this perspective, we propose \textbf{Boundary
Squeeze} module: a novel and efficient module that squeezes the object boundary
from both inner and outer directions which leads to precise mask
representation. To generate such squeezed representation, we propose a new
bidirectionally flow-based warping process and design specific loss signals to
supervise the learning process. Boundary Squeeze Module can be easily applied
to both instance and semantic segmentation tasks as a plug-and-play module by
building on top of existing models. We show that our simple yet effective
design can lead to high qualitative results on several different datasets and
we also provide several different metrics on boundary to prove the
effectiveness over previous work. Moreover, the proposed module is
light-weighted and thus has potential for practical usage. Our method yields
large gains on COCO, Cityscapes, for both instance and semantic segmentation
and outperforms previous state-of-the-art PointRend in both accuracy and speed
under the same setting. Code and model will be available."
Gaussian Dynamic Convolution for Efficient Single-Image Segmentation,"Interactive single-image segmentation is ubiquitous in the scientific and
commercial imaging software. In this work, we focus on the single-image
segmentation problem only with some seeds such as scribbles. Inspired by the
dynamic receptive field in the human being's visual system, we propose the
Gaussian dynamic convolution (GDC) to fast and efficiently aggregate the
contextual information for neural networks. The core idea is randomly selecting
the spatial sampling area according to the Gaussian distribution offsets. Our
GDC can be easily used as a module to build lightweight or complex segmentation
networks. We adopt the proposed GDC to address the typical single-image
segmentation tasks. Furthermore, we also build a Gaussian dynamic pyramid
Pooling to show its potential and generality in common semantic segmentation.
Experiments demonstrate that the GDC outperforms other existing convolutions on
three benchmark segmentation datasets including Pascal-Context, Pascal-VOC
2012, and Cityscapes. Additional experiments are also conducted to illustrate
that the GDC can produce richer and more vivid features compared with other
convolutions. In general, our GDC is conducive to the convolutional neural
networks to form an overall impression of the image."
Full Page Handwriting Recognition via Image to Sequence Extraction,"We present a Neural Network based Handwritten Text Recognition (HTR) model
architecture that can be trained to recognize full pages of handwritten or
printed text without image segmentation. Being based on Image to Sequence
architecture, it can extract text present in an image and then sequence it
correctly without imposing any constraints regarding orientation, layout and
size of text and non-text. Further, it can also be trained to generate
auxiliary markup related to formatting, layout and content. We use character
level vocabulary, thereby enabling language and terminology of any subject. The
model achieves a new state-of-art in paragraph level recognition on the IAM
dataset. When evaluated on scans of real world handwritten free form test
answers - beset with curved and slanted lines, drawings, tables, math,
chemistry and other symbols - it performs better than all commercially
available HTR cloud APIs. It is deployed in production as part of a commercial
web application."
"Uma implementação do jogo Pedra, Papel e Tesoura utilizando Visao Computacional","This paper presents a game, controlled by computer vision, in identification
of hand gestures (hand-tracking). The proposed work is based on image
segmentation and construction of a convex hull with Jarvis Algorithm , and
determination of the pattern based on the extraction of area characteristics in
the convex hull."
Deep Active Contours Using Locally Controlled Distance Vector Flow,"Active contours Model (ACM) has been extensively used in computer vision and
image processing. In recent studies, Convolutional Neural Networks (CNNs) have
been combined with active contours replacing the user in the process of contour
evolution and image segmentation to eliminate limitations associated with ACM's
dependence on parameters of the energy functional and initialization. However,
prior works did not aim for automatic initialization which is addressed here.
In addition to manual initialization, current methods are highly sensitive to
initial location and fail to delineate borders accurately. We propose a fully
automatic image segmentation method to address problems of manual
initialization, insufficient capture range, and poor convergence to boundaries,
in addition to the problem of assignment of energy functional parameters. We
train two CNNs, which predict active contour weighting parameters and generate
a ground truth mask to extract Distance Transform (DT) and an initialization
circle. Distance transform is used to form a vector field pointing from each
pixel of the image towards the closest point on the boundary, the size of which
is equal to the Euclidean distance map. We evaluate our method on four publicly
available datasets including two building instance segmentation datasets,
Vaihingen and Bing huts, and two mammography image datasets, INBreast and
DDSM-BCRP. Our approach outperforms latest research by 0.59 ans 2.39 percent in
mean Intersection-over-Union (mIoU), 7.38 and 8.62 percent in Boundary F-score
(BoundF) for Vaihingen and Bing huts datasets, respectively. Dice similarity
coefficient for the INBreast and DDSM-BCRP datasets is 94.23% and 90.89%,
respectively indicating our method is comparable to state-of-the-art
frameworks."
SemSegLoss: A python package of loss functions for semantic segmentation,"Image Segmentation has been an active field of research as it has a wide
range of applications, ranging from automated disease detection to self-driving
cars. In recent years, various research papers proposed different loss
functions used in case of biased data, sparse segmentation, and unbalanced
dataset. In this paper, we introduce SemSegLoss, a python package consisting of
some of the well-known loss functions widely used for image segmentation. It is
developed with the intent to help researchers in the development of novel loss
functions and perform an extensive set of experiments on model architectures
for various applications. The ease-of-use and flexibility of the presented
package have allowed reducing the development time and increased evaluation
strategies of machine learning models for semantic segmentation. Furthermore,
different applications that use image segmentation can use SemSegLoss because
of the generality of its functions. This wide range of applications will lead
to the development and growth of AI across all industries."
Finding an Unsupervised Image Segmenter in Each of Your Deep Generative Models,"Recent research has shown that numerous human-interpretable directions exist
in the latent space of GANs. In this paper, we develop an automatic procedure
for finding directions that lead to foreground-background image separation, and
we use these directions to train an image segmentation model without human
supervision. Our method is generator-agnostic, producing strong segmentation
results with a wide range of different GAN architectures. Furthermore, by
leveraging GANs pretrained on large datasets such as ImageNet, we are able to
segment images from a range of domains without further training or finetuning.
Evaluating our method on image segmentation benchmarks, we compare favorably to
prior work while using neither human supervision nor access to the training
data. Broadly, our results demonstrate that automatically extracting
foreground-background structure from pretrained deep generative models can
serve as a remarkably effective substitute for human supervision."
Voxel-level Siamese Representation Learning for Abdominal Multi-Organ Segmentation,"Recent works in medical image segmentation have actively explored various
deep learning architectures or objective functions to encode high-level
features from volumetric data owing to limited image annotations. However, most
existing approaches tend to ignore cross-volume global context and define
context relations in the decision space. In this work, we propose a novel
voxel-level Siamese representation learning method for abdominal multi-organ
segmentation to improve representation space. The proposed method enforces
voxel-wise feature relations in the representation space for leveraging limited
datasets more comprehensively to achieve better performance. Inspired by recent
progress in contrastive learning, we suppressed voxel-wise relations from the
same class to be projected to the same point without using negative samples.
Moreover, we introduce a multi-resolution context aggregation method that
aggregates features from multiple hidden layers, which encodes both the global
and local contexts for segmentation. Our experiments on the multi-organ dataset
outperformed the existing approaches by 2% in Dice score coefficient. The
qualitative visualizations of the representation spaces demonstrate that the
improvements were gained primarily by a disentangled feature space."
CheXseg: Combining Expert Annotations with DNN-generated Saliency Maps for X-ray Segmentation,"Medical image segmentation models are typically supervised by expert
annotations at the pixel-level, which can be expensive to acquire. In this
work, we propose a method that combines the high quality of pixel-level expert
annotations with the scale of coarse DNN-generated saliency maps for training
multi-label semantic segmentation models. We demonstrate the application of our
semi-supervised method, which we call CheXseg, on multi-label chest X-ray
interpretation. We find that CheXseg improves upon the performance (mIoU) of
fully-supervised methods that use only pixel-level expert annotations by 9.7%
and weakly-supervised methods that use only DNN-generated saliency maps by
73.1%. Our best method is able to match radiologist agreement on three out of
ten pathologies and reduces the overall performance gap by 57.2% as compared to
weakly-supervised methods."
GeoSim: Realistic Video Simulation via Geometry-Aware Composition for Self-Driving,"Scalable sensor simulation is an important yet challenging open problem for
safety-critical domains such as self-driving. Current works in image simulation
either fail to be photorealistic or do not model the 3D environment and the
dynamic objects within, losing high-level control and physical realism. In this
paper, we present GeoSim, a geometry-aware image composition process which
synthesizes novel urban driving scenarios by augmenting existing images with
dynamic objects extracted from other scenes and rendered at novel poses.
Towards this goal, we first build a diverse bank of 3D objects with both
realistic geometry and appearance from sensor data. During simulation, we
perform a novel geometry-aware simulation-by-composition procedure which 1)
proposes plausible and realistic object placements into a given scene, 2)
render novel views of dynamic objects from the asset bank, and 3) composes and
blends the rendered image segments. The resulting synthetic images are
realistic, traffic-aware, and geometrically consistent, allowing our approach
to scale to complex use cases. We demonstrate two such important applications:
long-range realistic video simulation across multiple camera sensors, and
synthetic data generation for data augmentation on downstream segmentation
tasks. Please check https://tmux.top/publication/geosim/ for high-resolution
video results."
Cross-Modal Progressive Comprehension for Referring Segmentation,"Given a natural language expression and an image/video, the goal of referring
segmentation is to produce the pixel-level masks of the entities described by
the subject of the expression. Previous approaches tackle this problem by
implicit feature interaction and fusion between visual and linguistic
modalities in a one-stage manner. However, human tends to solve the referring
problem in a progressive manner based on informative words in the expression,
i.e., first roughly locating candidate entities and then distinguishing the
target one. In this paper, we propose a Cross-Modal Progressive Comprehension
(CMPC) scheme to effectively mimic human behaviors and implement it as a CMPC-I
(Image) module and a CMPC-V (Video) module to improve referring image and video
segmentation models. For image data, our CMPC-I module first employs entity and
attribute words to perceive all the related entities that might be considered
by the expression. Then, the relational words are adopted to highlight the
target entity as well as suppress other irrelevant ones by spatial graph
reasoning. For video data, our CMPC-V module further exploits action words
based on CMPC-I to highlight the correct entity matched with the action cues by
temporal graph reasoning. In addition to the CMPC, we also introduce a simple
yet effective Text-Guided Feature Exchange (TGFE) module to integrate the
reasoned multimodal features corresponding to different levels in the visual
backbone under the guidance of textual information. In this way, multi-level
features can communicate with each other and be mutually refined based on the
textual context. Combining CMPC-I or CMPC-V with TGFE can form our image or
video version referring segmentation frameworks and our frameworks achieve new
state-of-the-art performances on four referring image segmentation benchmarks
and three referring video segmentation benchmarks respectively."
Momentum Contrastive Voxel-wise Representation Learning for Semi-supervised Volumetric Medical Image Segmentation,"Automated segmentation in medical image analysis is a challenging task that
requires a large amount of manually labeled data. However, manually annotating
medical data is often laborious, and most existing learning-based approaches
fail to accurately delineate object boundaries without effective geometric
constraints. Contrastive learning, a sub-area of self-supervised learning, has
recently been noted as a promising direction in multiple application fields. In
this work, we present a novel Contrastive Voxel-wise Representation Learning
(CVRL) method with geometric constraints to learn global-local visual
representations for volumetric medical image segmentation with limited
annotations. Our framework can effectively learn global and local features by
capturing 3D spatial context and rich anatomical information. Specifically, we
introduce a voxel-to-volume contrastive algorithm to learn global information
from 3D images, and propose to perform local voxel-to-voxel contrast to
explicitly make use of local cues in the embedding space. Moreover, we
integrate an elastic interaction-based active contour model as a geometric
regularization term to enable fast and reliable object delineations in an
end-to-end learning manner. Results on the Atrial Segmentation Challenge
dataset demonstrate superiority of our proposed scheme, especially in a setting
with a very limited number of annotated data."
VICE: Visual Identification and Correction of Neural Circuit Errors,"A connectivity graph of neurons at the resolution of single synapses provides
scientists with a tool for understanding the nervous system in health and
disease. Recent advances in automatic image segmentation and synapse prediction
in electron microscopy (EM) datasets of the brain have made reconstructions of
neurons possible at the nanometer scale. However, automatic segmentation
sometimes struggles to segment large neurons correctly, requiring human effort
to proofread its output. General proofreading involves inspecting large volumes
to correct segmentation errors at the pixel level, a visually intensive and
time-consuming process. This paper presents the design and implementation of an
analytics framework that streamlines proofreading, focusing on
connectivity-related errors. We accomplish this with automated likely-error
detection and synapse clustering that drives the proofreading effort with
highly interactive 3D visualizations. In particular, our strategy centers on
proofreading the local circuit of a single cell to ensure a basic level of
completeness. We demonstrate our framework's utility with a user study and
report quantitative and subjective feedback from our users. Overall, users find
the framework more efficient for proofreading, understanding evolving graphs,
and sharing error correction strategies."
A Novel Falling-Ball Algorithm for Image Segmentation,"Image segmentation refers to the separation of objects from the background,
and has been one of the most challenging aspects of digital image processing.
Practically it is impossible to design a segmentation algorithm which has 100%
accuracy, and therefore numerous segmentation techniques have been proposed in
the literature, each with certain limitations. In this paper, a novel
Falling-Ball algorithm is presented, which is a region-based segmentation
algorithm, and an alternative to watershed transform (based on waterfall
model). The proposed algorithm detects the catchment basins by assuming that a
ball falling from hilly terrains will stop in a catchment basin. Once catchment
basins are identified, the association of each pixel with one of the catchment
basin is obtained using multi-criterion fuzzy logic. Edges are constructed by
dividing image into different catchment basins with the help of a membership
function. Finally closed contour algorithm is applied to find closed regions
and objects within closed regions are segmented using intensity information.
The performance of the proposed algorithm is evaluated both objectively as well
as subjectively. Simulation results show that the proposed algorithms gives
superior performance over conventional Sobel edge detection methods and the
watershed segmentation algorithm. For comparative analysis, various comparison
methods are used for demonstrating the superiority of proposed methods over
existing segmentation methods."
A Large-Scale Benchmark for Food Image Segmentation,"Food image segmentation is a critical and indispensible task for developing
health-related applications such as estimating food calories and nutrients.
Existing food image segmentation models are underperforming due to two reasons:
(1) there is a lack of high quality food image datasets with fine-grained
ingredient labels and pixel-wise location masks -- the existing datasets either
carry coarse ingredient labels or are small in size; and (2) the complex
appearance of food makes it difficult to localize and recognize ingredients in
food images, e.g., the ingredients may overlap one another in the same image,
and the identical ingredient may appear distinctly in different food images. In
this work, we build a new food image dataset FoodSeg103 (and its extension
FoodSeg154) containing 9,490 images. We annotate these images with 154
ingredient classes and each image has an average of 6 ingredient labels and
pixel-wise masks. In addition, we propose a multi-modality pre-training
approach called ReLeM that explicitly equips a segmentation model with rich and
semantic food knowledge. In experiments, we use three popular semantic
segmentation methods (i.e., Dilated Convolution based, Feature Pyramid based,
and Vision Transformer based) as baselines, and evaluate them as well as ReLeM
on our new datasets. We believe that the FoodSeg103 (and its extension
FoodSeg154) and the pre-trained models using ReLeM can serve as a benchmark to
facilitate future works on fine-grained food image understanding. We make all
these datasets and methods public at
\url{https://xiongweiwu.github.io/foodseg103.html}."
Boundary-Aware Segmentation Network for Mobile and Web Applications,"Although deep models have greatly improved the accuracy and robustness of
image segmentation, obtaining segmentation results with highly accurate
boundaries and fine structures is still a challenging problem. In this paper,
we propose a simple yet powerful Boundary-Aware Segmentation Network (BASNet),
which comprises a predict-refine architecture and a hybrid loss, for highly
accurate image segmentation. The predict-refine architecture consists of a
densely supervised encoder-decoder network and a residual refinement module,
which are respectively used to predict and refine a segmentation probability
map. The hybrid loss is a combination of the binary cross entropy, structural
similarity and intersection-over-union losses, which guide the network to learn
three-level (ie, pixel-, patch- and map- level) hierarchy representations. We
evaluate our BASNet on two reverse tasks including salient object segmentation,
camouflaged object segmentation, showing that it achieves very competitive
performance with sharp segmentation boundaries. Importantly, BASNet runs at
over 70 fps on a single GPU which benefits many potential real applications.
Based on BASNet, we further developed two (close to) commercial applications:
AR COPY & PASTE, in which BASNet is integrated with augmented reality for
""COPYING"" and ""PASTING"" real-world objects, and OBJECT CUT, which is a
web-based tool for automatic object background removal. Both applications have
already drawn huge amount of attention and have important real-world impacts.
The code and two applications will be publicly available at:
https://github.com/NathanUA/BASNet."
Auxiliary Learning by Implicit Differentiation,"Training neural networks with auxiliary tasks is a common practice for
improving the performance on a main task of interest. Two main challenges arise
in this multi-task learning setting: (i) designing useful auxiliary tasks; and
(ii) combining auxiliary tasks into a single coherent loss. Here, we propose a
novel framework, AuxiLearn, that targets both challenges based on implicit
differentiation. First, when useful auxiliaries are known, we propose learning
a network that combines all losses into a single coherent objective function.
This network can learn non-linear interactions between tasks. Second, when no
useful auxiliary task is known, we describe how to learn a network that
generates a meaningful, novel auxiliary task. We evaluate AuxiLearn in a series
of tasks and domains, including image segmentation and learning with attributes
in the low data regime, and find that it consistently outperforms competing
methods."
MDA-Net: Multi-Dimensional Attention-Based Neural Network for 3D Image Segmentation,"Segmenting an entire 3D image often has high computational complexity and
requires large memory consumption; by contrast, performing volumetric
segmentation in a slice-by-slice manner is efficient but does not fully
leverage the 3D data. To address this challenge, we propose a multi-dimensional
attention network (MDA-Net) to efficiently integrate slice-wise, spatial, and
channel-wise attention into a U-Net based network, which results in high
segmentation accuracy with a low computational cost. We evaluate our model on
the MICCAI iSeg and IBSR datasets, and the experimental results demonstrate
consistent improvements over existing methods."
A Characteristic Function-based Algorithm for Geodesic Active Contours,"Active contour models have been widely used in image segmentation, and the
level set method (LSM) is the most popular approach for solving the models, via
implicitly representing the contour by a level set function. However, the LSM
suffers from high computational burden and numerical instability, requiring
additional regularization terms or re-initialization techniques. In this paper,
we use characteristic functions to implicitly represent the contours, propose a
new representation to the geodesic active contours and derive an efficient
algorithm termed as the iterative convolution-thresholding method (ICTM).
Compared to the LSM, the ICTM is simpler and much more efficient. In addition,
the ICTM enjoys most desired features of the level set-based methods. Extensive
experiments, on 2D synthetic, 2D ultrasound, 3D CT, and 3D MR images for
nodule, organ and lesion segmentation, demonstrate that the proposed method not
only obtains comparable or even better segmentation results (compared to the
LSM) but also achieves significant acceleration."
Geodesic Paths for Image Segmentation with Implicit Region-based Homogeneity Enhancement,"Minimal paths are regarded as a powerful and efficient tool for boundary
detection and image segmentation due to its global optimality and the
well-established numerical solutions such as fast marching method. In this
paper, we introduce a flexible interactive image segmentation model based on
the Eikonal partial differential equation (PDE) framework in conjunction with
region-based homogeneity enhancement. A key ingredient in the introduced model
is the construction of local geodesic metrics, which are capable of integrating
anisotropic and asymmetric edge features, implicit region-based homogeneity
features and/or curvature regularization. The incorporation of the region-based
homogeneity features into the metrics considered relies on an implicit
representation of these features, which is one of the contributions of this
work. Moreover, we also introduce a way to build simple closed contours as the
concatenation of two disjoint open curves. Experimental results prove that the
proposed model indeed outperforms state-of-the-art minimal paths-based image
segmentation approaches."
Impact of individual rater style on deep learning uncertainty in medical imaging segmentation,"While multiple studies have explored the relation between inter-rater
variability and deep learning model uncertainty in medical segmentation tasks,
little is known about the impact of individual rater style. This study
quantifies rater style in the form of bias and consistency and explores their
impacts when used to train deep learning models. Two multi-rater public
datasets were used, consisting of brain multiple sclerosis lesion and spinal
cord grey matter segmentation. On both datasets, results show a correlation
($R^2 = 0.60$ and $0.93$) between rater bias and deep learning uncertainty. The
impact of label fusion between raters' annotations on this relationship is also
explored, and we show that multi-center consensuses are more effective than
single-center consensuses to reduce uncertainty, since rater style is mostly
center-specific."
Bayesian Logistic Shape Model Inference: application to cochlea image segmentation,"Incorporating shape information is essential for the delineation of many
organs and anatomical structures in medical images. While previous work has
mainly focused on parametric spatial transformations applied on reference
template shapes, in this paper, we address the Bayesian inference of parametric
shape models for segmenting medical images with the objective to provide
interpretable results. The proposed framework defines a likelihood appearance
probability and a prior label probability based on a generic shape function
through a logistic function. A reference length parameter defined in the
sigmoid controls the trade-off between shape and appearance information. The
inference of shape parameters is performed within an Expectation-Maximisation
approach where a Gauss-Newton optimization stage allows to provide an
approximation of the posterior probability of shape parameters. This framework
is applied to the segmentation of cochlea structures from clinical CT images
constrained by a 10 parameter shape model. It is evaluated on three different
datasets, one of which includes more than 200 patient images. The results show
performances comparable to supervised methods and better than previously
proposed unsupervised ones. It also enables an analysis of parameter
distributions and the quantification of segmentation uncertainty including the
effect of the shape model."
Encoder Fusion Network with Co-Attention Embedding for Referring Image Segmentation,"Recently, referring image segmentation has aroused widespread interest.
Previous methods perform the multi-modal fusion between language and vision at
the decoding side of the network. And, linguistic feature interacts with visual
feature of each scale separately, which ignores the continuous guidance of
language to multi-scale visual features. In this work, we propose an encoder
fusion network (EFN), which transforms the visual encoder into a multi-modal
feature learning network, and uses language to refine the multi-modal features
progressively. Moreover, a co-attention mechanism is embedded in the EFN to
realize the parallel update of multi-modal features, which can promote the
consistent of the cross-modal information representation in the semantic space.
Finally, we propose a boundary enhancement module (BEM) to make the network pay
more attention to the fine structure. The experiment results on four benchmark
datasets demonstrate that the proposed approach achieves the state-of-the-art
performance under different evaluation metrics without any post-processing."
